,Dice-ET,Dice-TC,Dice-WT,HD95-ET,HD95-TC,HD95-WT,Sensitivity-ET,Sensitivity-TC,Sensitivity-WT,Specificity-ET,Specificity-TC,Specificity-WT,LesionWise_Dice-ET,LesionWise_Dice-TC,LesionWise_Dice-WT,LesionWise_HD95-ET,LesionWise_HD95-TC,LesionWise_HD95-WT,ID
44,0.713572732805843,0.9518981744678163,0.9534726267890602,65.87108622149782,2.449489742783178,2.23606797749979,0.5602599636815445,0.9265555828824398,0.9307715954503535,0.9999882254483496,0.9999261421990874,0.9999209710110877,0.35996315627878417,0.4770414219914845,0.4778272259571379,189.87228132326902,187.70710678118655,187.70710678118655,BraTS-PED-00083-000.nii.gz
45,0.8418736246463376,0.9462977678248935,0.9462654254167568,2.23606797749979,1.7320508075688772,1.7320508075688772,0.9462897526501767,0.944373954668666,0.9451604532479889,0.9998564505636921,0.9997989502685273,0.9997952395040006,0.8420500995702757,0.9463114398821048,0.9462790831938109,2.23606797749979,1.7320508075688772,1.7320508075688772,BraTS-PED-00084-000.nii.gz
46,0.0,0.9629393175216268,0.96305862470305,24.186773244895647,1.4142135623730951,1.4142135623730951,0.0,0.9589598499539054,0.9600737491258186,0.9999893593178046,0.999884112289459,0.9998807401797237,0.0,0.9629700568218094,0.9630893349702642,374.0,1.4142135623730951,1.4142135623730951,BraTS-PED-00085-000.nii.gz
47,0.0,0.9514034453680279,0.9524196503975653,96.13532129243653,2.23606797749979,2.0,0.0,0.9574705397410407,0.9661833406074714,0.9999847669278354,0.9996142626715558,0.9995623798729931,0.0,0.9514340098465196,0.9524500039837464,374.0,2.23606797749979,2.0,BraTS-PED-00086-000.nii.gz
48,0.6862692684665419,0.9638834494029653,0.9633061146702242,2.449489742783178,1.0,1.0,0.6337008392298832,0.9620279206465834,0.9656135194709772,0.9998548519192555,0.9998694621921019,0.9998501232575986,0.6862692684665419,0.9638834494029653,0.9633061146702242,2.449489742783178,1.0,1.0,BraTS-PED-00087-000.nii.gz
49,0.1551912568306011,0.9340812934421275,0.9283232989072931,17.146428199482248,3.0,3.0,0.08711656441717791,0.99197657158904,0.9941241351649454,0.9999967514955722,0.9992588542697991,0.9991707717893454,0.08040770101925254,0.9341077584171507,0.9283493763811379,190.67423461417476,3.0,3.0,BraTS-PED-00096-000.nii.gz
50,0.0,0.9219528807157673,0.922729662038898,33.793490497431605,2.0,2.0,0.0,0.912992826046968,0.9142769607843138,0.9999547490988743,0.9998763422115959,0.9998765664835362,0.0,0.9219528807157673,0.922729662038898,374.0,2.0,2.0,BraTS-PED-00097-000.nii.gz
51,0.0,0.9548332002896022,0.955187652285087,37.027017163147235,2.23606797749979,2.23606797749979,0.0,0.9445923858147692,0.9467237199735546,0.9992692641689555,0.9997916279044607,0.9997818234600184,0.0,0.9548332002896022,0.955187652285087,374.0,2.23606797749979,2.23606797749979,BraTS-PED-00098-000.nii.gz
52,0.7986977753662506,0.8853241711659453,0.8877822118965306,7.3484692283495345,3.605551275463989,3.605551275463989,0.9019607843137255,0.8103825025016848,0.8151384012411202,0.9999674029346768,0.9998879382473294,0.9998829824759782,0.26915341012982263,0.8853439236072377,0.8878019498204698,249.91068360252294,3.605551275463989,3.605551275463989,BraTS-PED-00099-000.nii.gz
53,0.7772544915402059,0.8385029628056901,0.8664617230261678,2.0,7.0710678118654755,6.708203932499369,0.8200220831799779,0.7385332018632484,0.7857749974501071,0.9999117114829861,0.9999239205226806,0.9999075134063419,0.7772544915402059,0.8385029628056901,0.8664617230261678,2.0,7.0710678118654755,6.708203932499369,BraTS-PED-00100-000.nii.gz
54,0.9127314936949296,0.9499079275541362,0.956289707750953,1.0,1.4142135623730951,1.4142135623730951,0.9725642323044921,0.9434425280703785,0.9582600240763034,0.9996835092494422,0.9997912165770662,0.999777035036451,0.9127314936949296,0.9499079275541362,0.956289707750953,1.0,1.4142135623730951,1.4142135623730951,BraTS-PED-00101-000.nii.gz
55,0.9111658906235734,0.8005042820501673,0.9166612435084797,1.7320508075688772,8.12403840463596,5.385164807134504,0.9688693288460294,0.6692755027865277,0.8532590259268233,0.9997264531168356,0.9999867217750511,0.9999609530164639,0.9111658906235734,0.8005042820501673,0.9166612435084797,1.7320508075688772,8.12403840463596,5.385164807134504,BraTS-PED-00102-000.nii.gz
56,0.8886243386243386,0.9200119488039706,0.9206588881262869,1.0,4.123105625617661,3.7416573867739413,0.9803005982781263,0.8710730136628666,0.875511269689322,0.9998263676184239,0.9999418305499214,0.9999318361849465,0.8886243386243386,0.9200119488039706,0.9206588881262869,1.0,4.123105625617661,3.7416573867739413,BraTS-PED-00103-000.nii.gz
57,0.3527397260273973,0.9648686539976873,0.9650436826240228,27.65863337187866,1.0,1.0,0.2985507246376812,0.9795540964531344,0.9811955866769173,0.9999847664364271,0.9997242077673859,0.9997166626144315,0.1532738095238095,0.9648686539976873,0.9650436826240228,250.535183758488,1.0,1.0,BraTS-PED-00104-000.nii.gz
58,0.6270702455739577,0.8553273237771538,0.9016797729282024,4.123105625617661,4.0,2.449489742783178,0.5479041916167665,0.8481828839390387,0.8489813800657174,0.9999775960518866,0.9996894761374873,0.9999125227746788,0.31425300515168864,0.8553273237771538,0.9016797729282024,189.06155281280883,4.0,2.449489742783178,BraTS-PED-00105-000.nii.gz
59,1.0,0.938412790909422,0.9396024326041572,0.0,1.4142135623730951,1.4142135623730951,1.0,0.9286048942227989,0.9326774065664757,1.0,0.9998425887443874,0.9998360720757039,1.0,0.938412790909422,0.9396024326041572,0.0,1.4142135623730951,1.4142135623730951,BraTS-PED-00106-000.nii.gz
60,0.0,0.9635210313468684,0.9638845122874506,374.0,1.0,1.0,0.0,0.9734527957524474,0.9769785963165755,0.9999721102150537,0.9998723030333252,0.9998641043714367,0.0,0.9635210313468684,0.9638845122874506,374.0,1.0,1.0,BraTS-PED-00107-000.nii.gz
61,0.7939517878168185,0.9025876862990422,0.9208602114921208,1.4142135623730951,13.601470508735444,13.114877048604,0.9947204968944099,0.840653197486733,0.8755806812276585,0.999631118324598,0.9998416153787406,0.9998131873697966,0.7939517878168185,0.9025876862990422,0.9208602114921208,1.4142135623730951,13.601470508735444,13.114877048604,BraTS-PED-00108-000.nii.gz
