,Dice-ET,Dice-TC,Dice-WT,HD95-ET,HD95-TC,HD95-WT,Sensitivity-ET,Sensitivity-TC,Sensitivity-WT,Specificity-ET,Specificity-TC,Specificity-WT,LesionWise_Dice-ET,LesionWise_Dice-TC,LesionWise_Dice-WT,LesionWise_HD95-ET,LesionWise_HD95-TC,LesionWise_HD95-WT,ID
69,0.7675848739823907,0.46126891425537564,0.8621742895379044,12.36931687685298,19.209372712298546,8.366600265340756,0.6804541206604133,0.30145034812981425,0.9166401633718887,0.9996996328508843,0.9999452583928271,0.9971554806381732,0.7676598070990668,0.4612893234812619,0.8621912577985082,12.24744871391589,19.1049731745428,8.366600265340756,BraTS-PED-00116-000.nii.gz
70,0.011941133009844446,0.8216560226084247,0.9246735985157905,16.673332000533065,7.3484692283495345,4.47213595499958,0.006015007342734716,0.9507188761637967,0.9842778233008908,0.9999920029654356,0.9960040331091812,0.9971985645269261,0.002389944647603061,0.8216560226084247,0.4623662464830856,303.4614551505325,7.3484692283495345,189.17944947177034,BraTS-PED-00117-000.nii.gz
71,0.5786746429624636,0.25316575652400525,0.9268326707121434,16.30950643030009,23.08679276123039,7.0710678118654755,0.5205790949746077,0.14590387766247953,0.9978700163844894,0.9995876523182162,0.9999443237309651,0.998714476733418,0.4826376036487302,0.25316575652400525,0.9268326707121434,13.838950384804512,23.08679276123039,7.0710678118654755,BraTS-PED-00118-000.nii.gz
72,0.8476961394769614,0.8495899179835967,0.8466083214048975,20.46948949045872,22.561028345356956,22.64950330581225,0.9739939187980683,0.95149654987006,0.9871628282104131,0.9989823646959088,0.9985508868036929,0.9982670979147089,0.8476961394769614,0.8495899179835967,0.8466083214048975,20.46948949045872,22.561028345356956,22.64950330581225,BraTS-PED-00119-000.nii.gz
73,0.7704918032786885,0.8771545605710346,0.8347905796079538,2.0,4.0,4.47213595499958,0.8585243553008596,0.8564187851429477,0.9375940445078007,0.9996525638300449,0.999863606379677,0.9995627776874842,0.7704918032786885,0.8771545605710346,0.8347905796079538,2.0,4.0,4.47213595499958,BraTS-PED-00120-000.nii.gz
74,0.8984129418078662,0.5082071805579723,0.9588004849843249,5.0,12.68857754044952,1.7320508075688772,0.9375,0.3416583806125831,0.9670548112058466,0.9994748645348325,0.999966233893964,0.9994166820106795,0.5728125111349033,0.5082292890184307,0.9589533490511344,126.66666666666667,12.68857754044952,1.7320508075688772,BraTS-PED-00121-000.nii.gz
75,1.0,0.001553548888241577,0.6413409117271778,0.0,21.656407827707714,7.681145747868608,1.0,0.0007773782917112039,0.5372655718589059,1.0,1.0,0.9998405420046785,1.0,0.001553548888241577,0.32199638926096324,0.0,21.656407827707714,190.80788655293196,BraTS-PED-00122-000.nii.gz
76,0.6708784596871239,0.16806111313204802,0.8235543416839329,4.123105625617661,19.026297590440446,11.704699910719626,0.9192085737840066,0.09193826559943395,0.7734046787246275,0.999888425701207,0.9999944977124521,0.9997338689492101,0.6737160120845922,0.16806111313204802,0.16610314369835694,3.605551275463989,19.026297590440446,300.2198039027186,BraTS-PED-00123-000.nii.gz
77,0.8572261072261073,0.2558343057176196,0.870578231292517,13.490737563232042,21.0,2.8284271247461903,0.7998912452419793,0.14689502114651815,0.8472360145647136,0.9999726589874278,0.9999960692349238,0.999730902380009,0.43792795474843704,0.2558343057176196,0.870578231292517,188.5,21.0,2.8284271247461903,BraTS-PED-00124-000.nii.gz
78,0.5625431928127159,0.02605114123905955,0.9325464473308469,23.57965224510319,32.49615361854384,3.7416573867739413,0.5637119113573407,0.013197475265601364,0.9369164159899845,0.9999643788397763,1.0,0.9995302401028849,0.3269076305220884,0.02605114123905955,0.9325464473308469,188.0,32.49615361854384,3.7416573867739413,BraTS-PED-00125-000.nii.gz
79,0.7759941627143379,0.4750427887806071,0.9071132225542251,3.605551275463989,14.594519519326424,2.449489742783178,0.8767518549051937,0.3147419578801203,0.9764891007543851,0.9997917775206687,0.9999748495322743,0.9995718805581564,0.7759941627143379,0.4750427887806071,0.9071132225542251,3.605551275463989,14.594519519326424,2.449489742783178,BraTS-PED-00126-000.nii.gz
80,0.0,0.6373182885145987,0.888688658422278,374.0,31.25699921617557,12.328828005937952,0.0,0.4699323462608252,0.8924719428654715,1.0,0.9999554584282998,0.9989199232890043,0.0,0.6373182885145987,0.888688658422278,374.0,31.25699921617557,12.328828005937952,BraTS-PED-00127-000.nii.gz
81,0.3246908655763861,0.10952794890207491,0.9355665564404093,9.219544457292887,16.522711641858304,1.7320508075688772,0.23072562358276644,0.05800872733095801,0.9570839505184355,0.9999623581540976,0.9999965180358442,0.9997505341164533,0.3246908655763861,0.10952794890207491,0.9355665564404093,9.219544457292887,16.522711641858304,1.7320508075688772,BraTS-PED-00128-000.nii.gz
82,0.7684582063211937,0.8700454840805718,0.8189099716814544,1.4142135623730951,5.385164807134504,63.190189111918315,0.820536540240518,0.7731952893718078,0.9184098376655063,0.998966828497239,0.9999417379402079,0.9954672571766819,0.7684582063211937,0.8700454840805718,0.31579094552155956,1.4142135623730951,5.385164807134504,250.58055246225797,BraTS-PED-00129-000.nii.gz
83,6.478991868865204e-05,0.02507469354703599,0.5596663137989378,33.25657829663178,31.575306807693888,30.675723300355934,0.0018484288354898336,0.025786073223259154,0.8880976310122038,0.9966029527550897,0.9959628591588493,0.9949658024271422,0.0,0.025047120418848167,0.5596532816995712,374.0,41.060930335295616,40.66939881532551,BraTS-PED-00130-000.nii.gz
84,0.0,0.7642537980339589,0.9311790823877651,374.0,5.830951894845301,2.449489742783178,0.0,0.6200296449055874,0.9731262486305342,0.9999977598566309,0.9999911205685174,0.999591995743268,0.0,0.7642537980339589,0.9311790823877651,374.0,5.830951894845301,2.449489742783178,BraTS-PED-00131-000.nii.gz
85,0.7781294964028777,0.3003287713127915,0.8727361722956437,7.874007874011811,26.324893162176366,2.449489742783178,0.8184019370460048,0.1791643860609378,0.8132640029191753,0.9998944501863145,0.9999656414340052,0.9998758151176792,0.7781294964028777,0.3003287713127915,0.8727361722956437,7.874007874011811,26.324893162176366,2.449489742783178,BraTS-PED-00132-000.nii.gz
